run,model,item_id,vqascore,custom_cv,csd,csd_provisional,judge_pass_rate,judge_axes_applicable,judge_parse_errors,harmonic,missing_components
v236_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_026,0.8396,0.6885,,False,,,,0.7566,"csd,judge_pass_rate"
v236_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_027,0.5544,0.7433,,False,1.0,spatial,,0.723,csd
v236_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_028,0.6381,0.6832,,False,1.0,"counting,spatial",,0.7443,csd
v236_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_029,0.4893,0.7049,,False,1.0,"attribute,counting,spatial",,0.6723,csd
v236_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_030,0.495,0.7346,,False,1.0,"attribute,spatial",,0.6847,csd
v236_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_031,0.6381,0.7117,,False,,,,0.6729,"csd,judge_pass_rate"
v236_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_032,0.7063,0.7426,,False,,,,0.724,"csd,judge_pass_rate"
v236_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_033,0.4596,0.7417,,False,1.0,attribute,,0.6631,csd
v236_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_034,0.5068,0.7456,,False,0.0,spatial,,0.0,csd
v236_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_035,0.5902,0.7239,,False,,,,0.6502,"csd,judge_pass_rate"
v236_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_036,0.5249,0.7351,,False,1.0,"attribute,counting,spatial",,0.7033,csd
v236_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_037,0.6197,0.7687,,False,,,,0.6862,"csd,judge_pass_rate"
v236_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_038,0.548,0.7516,,False,,,,0.6339,"csd,judge_pass_rate"
v236_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_039,0.678,0.7429,,False,,,,0.709,"csd,judge_pass_rate"
v236_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_040,0.7841,0.7341,,False,1.0,spatial,,0.8247,csd
v237_lumina2,lumina2,bench_v1_001,0.9087,0.8044,,False,,,,0.8534,"csd,judge_pass_rate"
v237_lumina2,lumina2,bench_v1_002,0.9593,0.8009,,False,,,,0.873,"csd,judge_pass_rate"
v237_lumina2,lumina2,bench_v1_003,0.9271,0.8083,,False,,,,0.8636,"csd,judge_pass_rate"
v237_lumina2,lumina2,bench_v1_004,0.8782,0.7653,,False,,,,0.8179,"csd,judge_pass_rate"
v237_lumina2,lumina2,bench_v1_005,0.8154,0.7272,,False,,,,0.7688,"csd,judge_pass_rate"
v237_lumina2,lumina2,bench_v1_006,0.9465,0.7995,,False,1.0,attribute,,0.9071,csd
v237_lumina2,lumina2,bench_v1_007,0.9136,0.7756,,False,,,,0.839,"csd,judge_pass_rate"
v237_lumina2,lumina2,bench_v1_008,0.9289,0.723,,False,,,,0.8131,"csd,judge_pass_rate"
v237_lumina2,lumina2,bench_v1_009,0.9092,0.7757,,False,1.0,attribute,,0.8852,csd
v237_lumina2,lumina2,bench_v1_010,0.9394,0.7597,,False,,,,0.84,"csd,judge_pass_rate"
v237_lumina2,lumina2,bench_v1_011,0.9563,0.7488,,False,1.0,spatial,,0.8873,csd
v237_lumina2,lumina2,bench_v1_012,0.8842,0.7917,,False,1.0,"attribute,counting",,0.8839,csd
v237_lumina2,lumina2,bench_v1_013,0.9433,0.7414,,False,1.0,"attribute,spatial",,0.88,csd
v237_lumina2,lumina2,bench_v1_014,0.9289,0.7847,,False,,,,0.8507,"csd,judge_pass_rate"
v237_lumina2,lumina2,bench_v1_015,0.9516,0.7801,,False,,,,0.8574,"csd,judge_pass_rate"
v237_lumina2,lumina2,bench_v1_016,0.8782,0.7787,,False,,,,0.8255,"csd,judge_pass_rate"
v237_lumina2,lumina2,bench_v1_017,0.8816,0.8188,,False,,,,0.849,"csd,judge_pass_rate"
v237_lumina2,lumina2,bench_v1_018,0.9307,0.7756,,False,1.0,"counting,spatial",,0.8919,csd
v237_lumina2,lumina2,bench_v1_019,0.9136,0.7251,,False,1.0,attribute,,0.8636,csd
v237_lumina2,lumina2,bench_v1_020,0.8782,0.7843,,False,1.0,spatial,,0.8788,csd
v237_lumina2,lumina2,bench_v1_021,0.9136,0.7707,,False,1.0,"counting,spatial",,0.8844,csd
v237_lumina2,lumina2,bench_v1_022,0.9289,0.8114,,False,1.0,"attribute,counting",,0.9066,csd
v237_lumina2,lumina2,bench_v1_023,0.9426,0.7692,,False,,,,0.8471,"csd,judge_pass_rate"
v237_lumina2,lumina2,bench_v1_024,0.8748,0.763,,False,1.0,spatial,,0.8686,csd
v237_lumina2,lumina2,bench_v1_025,0.9289,0.8042,,False,1.0,counting,,0.9036,csd
v237_lumina2,lumina2,bench_v1_026,0.9208,0.7915,,False,,,,0.8513,"csd,judge_pass_rate"
v237_lumina2,lumina2,bench_v1_027,0.8722,0.7815,,False,1.0,spatial,,0.8756,csd
v237_lumina2,lumina2,bench_v1_028,0.9633,0.7826,,False,1.0,"counting,spatial",,0.9047,csd
v237_lumina2,lumina2,bench_v1_029,0.9459,0.7792,,False,1.0,"attribute,counting,spatial",,0.8981,csd
v237_lumina2,lumina2,bench_v1_030,0.9433,0.7776,,False,1.0,"attribute,spatial",,0.8966,csd
v237_lumina2,lumina2,bench_v1_031,0.9523,0.7736,,False,,,,0.8537,"csd,judge_pass_rate"
v237_lumina2,lumina2,bench_v1_032,0.9426,0.7867,,False,,,,0.8576,"csd,judge_pass_rate"
v237_lumina2,lumina2,bench_v1_033,0.8872,0.7797,,False,1.0,attribute,,0.8798,csd
v237_lumina2,lumina2,bench_v1_034,0.8816,0.7658,,False,0.0,spatial,,0.0,csd
v237_lumina2,lumina2,bench_v1_035,0.8782,0.7835,,False,,,,0.8282,"csd,judge_pass_rate"
v237_lumina2,lumina2,bench_v1_036,0.8748,0.7946,,False,1.0,"attribute,counting,spatial",,0.8819,csd
v237_lumina2,lumina2,bench_v1_037,0.9449,0.7942,,False,,,,0.863,"csd,judge_pass_rate"
v237_lumina2,lumina2,bench_v1_038,0.9092,0.7961,,False,,,,0.8489,"csd,judge_pass_rate"
v237_lumina2,lumina2,bench_v1_039,0.9289,0.7967,,False,,,,0.8577,"csd,judge_pass_rate"
v237_lumina2,lumina2,bench_v1_040,0.9459,0.7959,,False,1.0,spatial,,0.9054,csd
v238_pixart-sigma,pixart-sigma,bench_v1_001,0.9185,0.7673,,False,,,,0.8361,"csd,judge_pass_rate"
v238_pixart-sigma,pixart-sigma,bench_v1_002,0.8323,0.8285,,False,,,,0.8304,"csd,judge_pass_rate"
v238_pixart-sigma,pixart-sigma,bench_v1_003,0.9248,0.8178,,False,,,,0.868,"csd,judge_pass_rate"
v238_pixart-sigma,pixart-sigma,bench_v1_004,0.5188,0.7636,,False,,,,0.6178,"csd,judge_pass_rate"
v238_pixart-sigma,pixart-sigma,bench_v1_005,0.9401,0.7823,,False,,,,0.854,"csd,judge_pass_rate"
v238_pixart-sigma,pixart-sigma,bench_v1_006,0.9289,0.8181,,False,1.0,attribute,,0.9094,csd
v238_pixart-sigma,pixart-sigma,bench_v1_007,0.9012,0.8078,,False,,,,0.8519,"csd,judge_pass_rate"
v238_pixart-sigma,pixart-sigma,bench_v1_008,0.896,0.7892,,False,,,,0.8392,"csd,judge_pass_rate"
v238_pixart-sigma,pixart-sigma,bench_v1_009,0.9248,0.7937,,False,1.0,attribute,,0.8979,csd
v238_pixart-sigma,pixart-sigma,bench_v1_010,0.9012,0.7897,,False,,,,0.8418,"csd,judge_pass_rate"
v238_pixart-sigma,pixart-sigma,bench_v1_011,0.964,0.7812,,False,1.0,spatial,,0.9043,csd
v238_pixart-sigma,pixart-sigma,bench_v1_012,0.6444,0.764,,False,0.5,"attribute,counting",,0.6172,csd
v238_pixart-sigma,pixart-sigma,bench_v1_013,0.9271,0.7623,,False,1.0,"attribute,spatial",,0.8848,csd
v238_pixart-sigma,pixart-sigma,bench_v1_014,0.9271,0.811,,False,,,,0.8652,"csd,judge_pass_rate"
v238_pixart-sigma,pixart-sigma,bench_v1_015,0.9496,0.7958,,False,,,,0.8659,"csd,judge_pass_rate"
v238_pixart-sigma,pixart-sigma,bench_v1_016,0.548,0.8278,,False,,,,0.6594,"csd,judge_pass_rate"
v238_pixart-sigma,pixart-sigma,bench_v1_017,0.8323,0.8192,,False,,,,0.8257,"csd,judge_pass_rate"
v238_pixart-sigma,pixart-sigma,bench_v1_018,0.9367,0.7394,,False,1.0,"counting,spatial",,0.8772,csd
v238_pixart-sigma,pixart-sigma,bench_v1_019,0.8782,0.8084,,False,1.0,attribute,,0.8887,csd
v238_pixart-sigma,pixart-sigma,bench_v1_020,0.8154,0.8073,,False,1.0,spatial,,0.8658,csd
v238_pixart-sigma,pixart-sigma,bench_v1_021,0.8986,0.7541,,False,1.0,"counting,spatial",,0.8724,csd
v238_pixart-sigma,pixart-sigma,bench_v1_022,0.9208,0.8181,,False,1.0,"attribute,counting",,0.9068,csd
v238_pixart-sigma,pixart-sigma,bench_v1_023,0.9012,0.8151,,False,,,,0.856,"csd,judge_pass_rate"
v238_pixart-sigma,pixart-sigma,bench_v1_024,0.7063,0.8152,,False,1.0,spatial,,0.8236,csd
v238_pixart-sigma,pixart-sigma,bench_v1_025,0.9185,0.8006,,False,0.0,counting,,0.0,csd
v238_pixart-sigma,pixart-sigma,bench_v1_026,0.9248,0.8016,,False,,,,0.8588,"csd,judge_pass_rate"
v238_pixart-sigma,pixart-sigma,bench_v1_027,0.9012,0.8052,,False,1.0,spatial,,0.8951,csd
v238_pixart-sigma,pixart-sigma,bench_v1_028,0.9417,0.7635,,False,1.0,"counting,spatial",,0.8898,csd
v238_pixart-sigma,pixart-sigma,bench_v1_029,0.9141,0.7987,,False,1.0,"attribute,counting,spatial",,0.8966,csd
v238_pixart-sigma,pixart-sigma,bench_v1_030,0.9489,0.8142,,False,1.0,"attribute,spatial",,0.9141,csd
v238_pixart-sigma,pixart-sigma,bench_v1_031,0.9633,0.819,,False,,,,0.8853,"csd,judge_pass_rate"
v238_pixart-sigma,pixart-sigma,bench_v1_032,0.8872,0.8215,,False,,,,0.8531,"csd,judge_pass_rate"
v238_pixart-sigma,pixart-sigma,bench_v1_033,0.8067,0.8116,,False,1.0,attribute,,0.8641,csd
v238_pixart-sigma,pixart-sigma,bench_v1_034,0.896,0.8044,,False,0.0,spatial,,0.0,csd
v238_pixart-sigma,pixart-sigma,bench_v1_035,0.896,0.8012,,False,,,,0.846,"csd,judge_pass_rate"
v238_pixart-sigma,pixart-sigma,bench_v1_036,0.9185,0.8189,,False,1.0,"attribute,counting,spatial",,0.9064,csd
v238_pixart-sigma,pixart-sigma,bench_v1_037,0.923,0.8233,,False,,,,0.8703,"csd,judge_pass_rate"
v238_pixart-sigma,pixart-sigma,bench_v1_038,0.5249,0.8256,,False,,,,0.6418,"csd,judge_pass_rate"
v238_pixart-sigma,pixart-sigma,bench_v1_039,0.9012,0.7812,,False,,,,0.8369,"csd,judge_pass_rate"
v238_pixart-sigma,pixart-sigma,bench_v1_040,0.9208,0.7924,,False,1.0,spatial,,0.8961,csd
v239_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_001,0.9271,0.8247,,False,,,,0.8729,"csd,judge_pass_rate"
v239_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_002,0.9537,0.8245,,False,,,,0.8844,"csd,judge_pass_rate"
v239_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_003,0.9433,0.8243,,False,,,,0.8798,"csd,judge_pass_rate"
v239_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_004,0.7231,0.8112,,False,,,,0.7646,"csd,judge_pass_rate"
v239_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_005,0.9523,0.8261,,False,,,,0.8847,"csd,judge_pass_rate"
v239_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_006,0.9472,0.8151,,False,1.0,attribute,,0.9139,csd
v239_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_007,0.8437,0.7137,,False,,,,0.7733,"csd,judge_pass_rate"
v239_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_008,0.9226,0.8132,,False,,,,0.8645,"csd,judge_pass_rate"
v239_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_009,0.896,0.8066,,False,1.0,attribute,,0.894,csd
v239_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_010,0.9092,0.7904,,False,,,,0.8456,"csd,judge_pass_rate"
v239_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_011,0.965,0.8153,,False,1.0,spatial,,0.9195,csd
v239_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_012,0.8986,0.7708,,False,1.0,"attribute,counting",,0.8797,csd
v239_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_013,0.9376,0.7998,,False,1.0,"attribute,spatial",,0.9045,csd
v239_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_014,0.9326,0.8202,,False,,,,0.8728,"csd,judge_pass_rate"
v239_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_015,0.9556,0.8195,,False,,,,0.8823,"csd,judge_pass_rate"
v239_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_016,0.8067,0.8254,,False,,,,0.8159,"csd,judge_pass_rate"
v239_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_017,0.8396,0.8216,,False,,,,0.8305,"csd,judge_pass_rate"
v239_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_018,0.9226,0.8043,,False,1.0,"counting,spatial",,0.9017,csd
v239_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_019,0.6793,0.8178,,False,1.0,attribute,,0.8119,csd
v239_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_020,0.8654,0.8091,,False,1.0,spatial,,0.8846,csd
v239_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_021,0.933,0.8004,,False,1.0,"counting,spatial",,0.9033,csd
v239_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_022,0.9039,0.8233,,False,1.0,"attribute,counting",,0.9034,csd
v239_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_023,0.9376,0.8105,,False,,,,0.8694,"csd,judge_pass_rate"
v239_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_024,0.7388,0.7957,,False,1.0,spatial,,0.831,csd
v239_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_025,0.9012,0.8104,,False,0.0,counting,,0.0,csd
v239_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_026,0.9385,0.8023,,False,,,,0.8651,"csd,judge_pass_rate"
v239_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_027,0.8621,0.8105,,False,1.0,spatial,,0.884,csd
v239_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_028,0.9577,0.7704,,False,1.0,"counting,spatial",,0.8976,csd
v239_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_029,0.9537,0.8136,,False,0.6667,"attribute,counting,spatial",,0.7942,csd
v239_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_030,0.9617,0.7977,,False,1.0,"attribute,spatial",,0.9109,csd
v239_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_031,0.9633,0.8202,,False,,,,0.886,"csd,judge_pass_rate"
v239_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_032,0.9449,0.8235,,False,,,,0.88,"csd,judge_pass_rate"
v239_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_033,0.896,0.8091,,False,1.0,attribute,,0.895,csd
v239_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_034,0.8986,0.8034,,False,1.0,spatial,,0.8935,csd
v239_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_035,0.8323,0.787,,False,,,,0.809,"csd,judge_pass_rate"
v239_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_036,0.9012,0.8202,,False,1.0,"attribute,counting,spatial",,0.9012,csd
v239_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_037,0.9442,0.8001,,False,,,,0.8662,"csd,judge_pass_rate"
v239_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_038,0.8903,0.8239,,False,,,,0.8558,"csd,judge_pass_rate"
v239_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_039,0.9307,0.8187,,False,,,,0.8711,"csd,judge_pass_rate"
v239_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_040,0.9465,0.8161,,False,1.0,spatial,,0.9141,csd
v240_lumina2,lumina2,bench_v1_001,0.8748,0.7507,,False,,,,0.808,"csd,judge_pass_rate"
v240_lumina2,lumina2,bench_v1_002,0.9092,0.7343,,False,,,,0.8124,"csd,judge_pass_rate"
v240_lumina2,lumina2,bench_v1_003,0.8842,0.7313,,False,,,,0.8005,"csd,judge_pass_rate"
v240_lumina2,lumina2,bench_v1_004,0.6258,0.7434,,False,,,,0.6795,"csd,judge_pass_rate"
v240_lumina2,lumina2,bench_v1_005,0.9181,0.7027,,False,,,,0.7961,"csd,judge_pass_rate"
v240_lumina2,lumina2,bench_v1_006,0.9012,0.7235,,False,1.0,attribute,,0.8592,csd
v240_lumina2,lumina2,bench_v1_007,0.896,0.7369,,False,,,,0.8087,"csd,judge_pass_rate"
v240_lumina2,lumina2,bench_v1_008,0.9348,0.7017,,False,,,,0.8016,"csd,judge_pass_rate"
v240_lumina2,lumina2,bench_v1_009,0.9479,0.7086,,False,1.0,attribute,,0.8655,csd
v240_lumina2,lumina2,bench_v1_010,0.9248,0.69,,False,,,,0.7903,"csd,judge_pass_rate"
v240_lumina2,lumina2,bench_v1_011,0.9617,0.6886,,False,1.0,spatial,,0.8591,csd
v240_lumina2,lumina2,bench_v1_012,0.9226,0.7326,,False,1.0,"attribute,counting",,0.8698,csd
v240_lumina2,lumina2,bench_v1_013,0.9271,0.7055,,False,1.0,"attribute,spatial",,0.8581,csd
v240_lumina2,lumina2,bench_v1_014,0.9208,0.7349,,False,,,,0.8174,"csd,judge_pass_rate"
v240_lumina2,lumina2,bench_v1_015,0.9065,0.7545,,False,,,,0.8235,"csd,judge_pass_rate"
v240_lumina2,lumina2,bench_v1_016,0.8714,0.7705,,False,,,,0.8178,"csd,judge_pass_rate"
v240_lumina2,lumina2,bench_v1_017,0.8722,0.7685,,False,,,,0.8171,"csd,judge_pass_rate"
v240_lumina2,lumina2,bench_v1_018,0.9617,0.6693,,False,1.0,"counting,spatial",,0.8489,csd
v240_lumina2,lumina2,bench_v1_019,0.8872,0.7134,,False,1.0,attribute,,0.8501,csd
v240_lumina2,lumina2,bench_v1_020,0.9065,0.7599,,False,1.0,spatial,,0.8774,csd
v240_lumina2,lumina2,bench_v1_021,0.9092,0.7477,,False,1.0,"counting,spatial",,0.8728,csd
v240_lumina2,lumina2,bench_v1_022,0.8782,0.7722,,False,1.0,"attribute,counting",,0.8737,csd
v240_lumina2,lumina2,bench_v1_023,0.9348,0.7207,,False,,,,0.8139,"csd,judge_pass_rate"
v240_lumina2,lumina2,bench_v1_024,0.8816,0.7231,,False,1.0,spatial,,0.8529,csd
v240_lumina2,lumina2,bench_v1_025,0.9645,0.7313,,False,0.0,counting,,0.0,csd
v240_lumina2,lumina2,bench_v1_026,0.9271,0.6452,,False,,,,0.7609,"csd,judge_pass_rate"
v240_lumina2,lumina2,bench_v1_027,0.9012,0.7374,,False,1.0,spatial,,0.8656,csd
v240_lumina2,lumina2,bench_v1_028,0.9829,0.6984,,False,1.0,"counting,spatial",,0.8698,csd
v240_lumina2,lumina2,bench_v1_029,0.9582,0.7417,,False,1.0,"attribute,counting,spatial",,0.8845,csd
v240_lumina2,lumina2,bench_v1_030,0.9715,0.7371,,False,1.0,"attribute,spatial",,0.886,csd
v240_lumina2,lumina2,bench_v1_031,0.938,0.6953,,False,,,,0.7986,"csd,judge_pass_rate"
v240_lumina2,lumina2,bench_v1_032,0.9417,0.7084,,False,,,,0.8086,"csd,judge_pass_rate"
v240_lumina2,lumina2,bench_v1_033,0.9248,0.718,,False,1.0,attribute,,0.8635,csd
v240_lumina2,lumina2,bench_v1_034,0.9185,0.7122,,False,0.0,spatial,,0.0,csd
v240_lumina2,lumina2,bench_v1_035,0.9114,0.7269,,False,,,,0.8088,"csd,judge_pass_rate"
v240_lumina2,lumina2,bench_v1_036,0.9456,0.7222,,False,1.0,"attribute,counting,spatial",,0.8715,csd
v240_lumina2,lumina2,bench_v1_037,0.9348,0.7252,,False,,,,0.8168,"csd,judge_pass_rate"
v240_lumina2,lumina2,bench_v1_038,0.8688,0.7449,,False,,,,0.8021,"csd,judge_pass_rate"
v240_lumina2,lumina2,bench_v1_039,0.8722,0.7379,,False,,,,0.7994,"csd,judge_pass_rate"
v240_lumina2,lumina2,bench_v1_040,0.9208,0.7548,,False,1.0,spatial,,0.8795,csd
v241_pixart-sigma,pixart-sigma,bench_v1_001,0.8688,0.7197,,False,,,,0.7873,"csd,judge_pass_rate"
v241_pixart-sigma,pixart-sigma,bench_v1_002,0.7175,0.7324,,False,,,,0.7249,"csd,judge_pass_rate"
v241_pixart-sigma,pixart-sigma,bench_v1_003,0.9208,0.732,,False,,,,0.8156,"csd,judge_pass_rate"
v241_pixart-sigma,pixart-sigma,bench_v1_004,0.5609,0.6362,,False,,,,0.5962,"csd,judge_pass_rate"
v241_pixart-sigma,pixart-sigma,bench_v1_005,0.8903,0.7582,,False,,,,0.819,"csd,judge_pass_rate"
v241_pixart-sigma,pixart-sigma,bench_v1_006,0.9479,0.7388,,False,1.0,attribute,,0.8802,csd
v241_pixart-sigma,pixart-sigma,bench_v1_007,0.8903,0.7318,,False,,,,0.8033,"csd,judge_pass_rate"
v241_pixart-sigma,pixart-sigma,bench_v1_008,0.9136,0.7023,,False,,,,0.7941,"csd,judge_pass_rate"
v241_pixart-sigma,pixart-sigma,bench_v1_009,0.933,0.7049,,False,1.0,attribute,,0.8595,csd
v241_pixart-sigma,pixart-sigma,bench_v1_010,0.8654,0.648,,False,,,,0.7411,"csd,judge_pass_rate"
v241_pixart-sigma,pixart-sigma,bench_v1_011,0.9795,0.7204,,False,1.0,spatial,,0.88,csd
v241_pixart-sigma,pixart-sigma,bench_v1_012,0.8396,0.7049,,False,0.5,"attribute,counting",,0.6508,csd
v241_pixart-sigma,pixart-sigma,bench_v1_013,0.9316,0.6757,,False,1.0,"attribute,spatial",,0.8443,csd
v241_pixart-sigma,pixart-sigma,bench_v1_014,0.9114,0.6843,,False,,,,0.7817,"csd,judge_pass_rate"
v241_pixart-sigma,pixart-sigma,bench_v1_015,0.896,0.7408,,False,,,,0.811,"csd,judge_pass_rate"
v241_pixart-sigma,pixart-sigma,bench_v1_016,0.9039,0.5887,,False,,,,0.713,"csd,judge_pass_rate"
v241_pixart-sigma,pixart-sigma,bench_v1_017,0.8903,0.745,,False,,,,0.8112,"csd,judge_pass_rate"
v241_pixart-sigma,pixart-sigma,bench_v1_018,0.9549,0.6447,,False,1.0,"counting,spatial",,0.8337,csd
v241_pixart-sigma,pixart-sigma,bench_v1_019,0.802,0.7494,,False,1.0,attribute,,0.8377,csd
v241_pixart-sigma,pixart-sigma,bench_v1_020,0.8722,0.7487,,False,1.0,spatial,,0.8615,csd
v241_pixart-sigma,pixart-sigma,bench_v1_021,0.8587,0.7235,,False,0.5,"counting,spatial",,0.6598,csd
v241_pixart-sigma,pixart-sigma,bench_v1_022,0.8816,0.7047,,False,1.0,"attribute,counting",,0.8443,csd
v241_pixart-sigma,pixart-sigma,bench_v1_023,0.9248,0.7244,,False,,,,0.8124,"csd,judge_pass_rate"
v241_pixart-sigma,pixart-sigma,bench_v1_024,0.8396,0.6931,,False,1.0,spatial,,0.8256,csd
v241_pixart-sigma,pixart-sigma,bench_v1_025,0.9226,0.7278,,False,0.0,counting,,0.0,csd
v241_pixart-sigma,pixart-sigma,bench_v1_026,0.9271,0.7194,,False,,,,0.8101,"csd,judge_pass_rate"
v241_pixart-sigma,pixart-sigma,bench_v1_027,0.9114,0.708,,False,1.0,spatial,,0.8548,csd
v241_pixart-sigma,pixart-sigma,bench_v1_028,0.9773,0.7106,,False,1.0,"counting,spatial",,0.8745,csd
v241_pixart-sigma,pixart-sigma,bench_v1_029,0.9039,0.7399,,False,1.0,"attribute,counting,spatial",,0.8676,csd
v241_pixart-sigma,pixart-sigma,bench_v1_030,0.9489,0.7223,,False,1.0,"attribute,spatial",,0.8725,csd
v241_pixart-sigma,pixart-sigma,bench_v1_031,0.9523,0.6759,,False,,,,0.7906,"csd,judge_pass_rate"
v241_pixart-sigma,pixart-sigma,bench_v1_032,0.9417,0.6942,,False,,,,0.7992,"csd,judge_pass_rate"
v241_pixart-sigma,pixart-sigma,bench_v1_033,0.9348,0.7206,,False,1.0,attribute,,0.8677,csd
v241_pixart-sigma,pixart-sigma,bench_v1_034,0.9092,0.7056,,False,0.0,spatial,,0.0,csd
v241_pixart-sigma,pixart-sigma,bench_v1_035,0.9226,0.7024,,False,,,,0.7976,"csd,judge_pass_rate"
v241_pixart-sigma,pixart-sigma,bench_v1_036,0.9358,0.7243,,False,1.0,"attribute,counting,spatial",,0.8698,csd
v241_pixart-sigma,pixart-sigma,bench_v1_037,0.8842,0.7433,,False,,,,0.8077,"csd,judge_pass_rate"
v241_pixart-sigma,pixart-sigma,bench_v1_038,0.7841,0.7758,,False,,,,0.7799,"csd,judge_pass_rate"
v241_pixart-sigma,pixart-sigma,bench_v1_039,0.8579,0.7349,,False,,,,0.7917,"csd,judge_pass_rate"
v241_pixart-sigma,pixart-sigma,bench_v1_040,0.9401,0.693,,False,1.0,spatial,,0.8555,csd
v242_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_001,0.9039,0.7209,,False,,,,0.8021,"csd,judge_pass_rate"
v242_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_002,0.9163,0.7228,,False,,,,0.8081,"csd,judge_pass_rate"
v242_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_003,0.9456,0.7184,,False,,,,0.8165,"csd,judge_pass_rate"
v242_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_004,0.548,0.7283,,False,,,,0.6254,"csd,judge_pass_rate"
v242_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_005,0.9092,0.7209,,False,,,,0.8042,"csd,judge_pass_rate"
v242_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_006,0.9465,0.7183,,False,1.0,attribute,,0.8699,csd
v242_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_007,0.9248,0.7111,,False,,,,0.804,"csd,judge_pass_rate"
v242_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_008,0.9399,0.7186,,False,,,,0.8145,"csd,judge_pass_rate"
v242_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_009,0.9185,0.7189,,False,1.0,attribute,,0.8621,csd
v242_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_010,0.9426,0.673,,False,,,,0.7853,"csd,judge_pass_rate"
